E0066
continuous_10k/**.mat ['data_st']['channel_names'],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A18,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,B1,B2,B3,B4
EJ0011
.electrodeNames,A1-4,A1-8,A1-12,A1-16,A1-20,A1-24,A1-3,A1-7,A1-11,A1-15,A1-19,A1-23,A1-2,A1-6,A1-10,A1-14,A1-18,A1-22,A1-1,A1-5,A1-9,A1-13,A1-17,A1-21,A25-4,A25-8,A25-12,A25-16,A25-20,A25-24,A25-3,A25-7,A25-11,A25-15,A25-19,A25-23,A25-2,A25-6,A25-10,A25-14,A25-18,A25-22,A25-1,A25-5,A25-9,A25-13,A25-17,A25-21,A49-4,A49-8,A49-12,A49-16,A49-20,A49-24,A49-3,A49-7,A49-11,A49-15,A49-19,A49-23,A49-2,A49-6,A49-10,A49-14,A49-18,A49-22,A49-1,A49-5,A49-9,A49-13,A49-17,A49-21,A73-4,A73-3,A73-2,A73-1,A77-4,A77-3,A77-2,A77-1,A81-4,A81-3,A81-2,A81-1,A85-4,A85-3,A85-2,A85-1
continuous_10k/**.mat ['data_st']['channel_names'],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28
EJ0013
.electrodeNames,A1-4,A1-8,A1-12,A1-16,A1-20,A1-24,A1-3,A1-7,A1-11,A1-15,A1-19,A1-23,A1-2,A1-6,A1-10,A1-14,A1-18,A1-22,A1-1,A1-5,A1-9,A1-13,A1-17,A1-21,A25-2,A25-4,A25-1,A25-3,A29-4,A29-3,A29-2,A29-1,A33-2,A33-4,A33-1,A33-3,A37-4,A37-3,A37-2,A37-1,A41-4,A41-3,A41-2,A41-1,A45-4,A45-3,A45-2,A45-1,A49-2,A49-4,A49-6,A49-1,A49-3,A49-5,A55-4,A55-8,A55-12,A55-16,A55-20,A55-24,A55-3,A55-7,A55-11,A55-15,A55-19,A55-23,A55-2,A55-6,A55-10,A55-14,A55-18,A55-22,A55-1,A55-5,A55-9,A55-13,A55-17,A55-21
continuous_10k/**.mat ['data_st']['channel_names'],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18,A21,A22,A23,A24,A25,A26,A27,A28,A31,A32,A33,A34,A35,A36,A37,A38,A39,A41,A42,A43,A47,A48,A49,A50,A53,A54,A55,A56,A57,A58
EN0005
.electrodeNames,A1-2,A1-4,A1-6,A1-8,A1-10,A1-12,A1-14,A1-16,A1-1,A1-3,A1-5,A1-7,A1-9,A1-11,A1-13,A1-15,A17-2,A17-4,A17-6,A17-8,A17-10,A17-12,A17-14,A17-16,A17-1,A17-3,A17-5,A17-7,A17-9,A17-11,A17-13,A17-15,A33-6,A33-5,A33-4,A33-3,A33-2,A33-1,A39-6,A39-5,A39-4,A39-3,A39-2,A39-1,A45-2,A45-4,A45-6,A45-8,A45-10,A45-12,A45-14,A45-16,A45-1,A45-3,A45-5,A45-7,A45-9,A45-11,A45-13,A45-15
continuous_10k/**.mat ['data_st']['channel_names'],LOA1,LOA2,LOA3,LOA4,LOA6,LOA7,LOA8,LOA12,LOA14,LOA15,LOA16,LOP2,LOP3,LOP4,LOP5,LOP6,LOP7,LOP8,LOP10,LOP11,LOP12,LOP13,LOP14,LOP15,LOP16,MOP1,MOP2,MOP3,MOP4,MOP5,MOP6,MOA1,MOA2,MOA3,MOA4,MOA5,MOA6,MOA7,MOA8,MOA9,MOA10,MOA11,MOA12,MOA13,MOA14,MOA15,MOA16,D1,D2,D3,D4,D5,D6
